trafficindexdate,minimum_traffic_index,maximum_traffic_index,average_traffic_index
2017-11-14 00:00:00.000,1,57,23.666666
2021-07-04 00:00:00.000,1,44,20.290781
2021-03-11 00:00:00.000,6,74,36.89933
2018-04-10 00:00:00.000,1,58,28.256945
2018-10-20 00:00:00.000,1,53,23.341463
2020-10-14 00:00:00.000,4,67,31.494774
2018-07-01 00:00:00.000,1,40,18.77972
2018-01-20 00:00:00.000,1,53,25.304195
2019-06-10 00:00:00.000,1,56,19.814035
2016-12-21 00:00:00.000,9,78,36.983936
2017-09-06 00:00:00.000,1,49,21.967857
2022-11-18 00:00:00.000,1,78,31.831696
2019-08-16 00:00:00.000,1,26,9.3368053
2018-09-01 00:00:00.000,1,44,19.899305
2022-05-30 00:00:00.000,1,72,28.811104
2018-03-11 00:00:00.000,1,47,20.526133
2018-02-06 00:00:00.000,1,63,25.696863
2018-02-26 00:00:00.000,1,63,25.972126
2022-09-04 00:00:00.000,0,53,22.699493
2020-10-18 00:00:00.000,1,45,19.190971
2021-09-28 00:00:00.000,1,74,34.440559
2022-08-01 00:00:00.000,1,67,26.317745
2017-04-03 00:00:00.000,1,51,22.864111
2018-12-10 00:00:00.000,1,74,30.982517
2021-03-05 00:00:00.000,4,65,33.665413
2021-06-03 00:00:00.000,4,67,33.055557
2020-08-26 00:00:00.000,2,62,29.416962
2019-02-13 00:00:00.000,4,71,36.083622
2016-09-05 00:00:00.000,1,65,32.399208
2017-12-31 00:00:00.000,1,24,7.759582
2021-06-19 00:00:00.000,1,74,39.299641
2015-12-09 00:00:00.000,1,74,32.787457
2019-02-23 00:00:00.000,8,54,34.524475
2018-04-30 00:00:00.000,1,54,23.494661
2016-11-18 00:00:00.000,1,69,28.561403
2021-04-20 00:00:00.000,1,60,25.015625
2018-05-28 00:00:00.000,1,56,20.972221
2015-10-08 00:00:00.000,1,71,35.188152
2020-12-06 00:00:00.000,1,15,5.8464165
2020-05-17 00:00:00.000,1,13,5.836
2016-02-23 00:00:00.000,2,74,35.774647
2018-11-29 00:00:00.000,13,76,40.487633
2019-02-22 00:00:00.000,1,63,26.513987
2020-08-23 00:00:00.000,1,31,15.839858
2018-05-08 00:00:00.000,1,56,25.319445
2019-12-11 00:00:00.000,4,80,32.611111
2022-06-23 00:00:00.000,1,74,32.738182
2018-03-23 00:00:00.000,1,60,29.059233
2022-06-07 00:00:00.000,1,72,30.641396
2020-05-19 00:00:00.000,1,15,7.3811188
2018-03-10 00:00:00.000,1,53,26.491289
2018-03-19 00:00:00.000,4,62,25.54007
2017-04-08 00:00:00.000,1,65,33.024391
2021-06-12 00:00:00.000,1,76,37.545456
2017-06-09 00:00:00.000,1,67,28.880281
2021-12-11 00:00:00.000,1,63,30.857639
2020-06-04 00:00:00.000,1,54,25.543554
2019-04-24 00:00:00.000,1,56,26.195805
2018-12-19 00:00:00.000,9,71,37.227272
2018-12-04 00:00:00.000,1,62,25.36237
