zaman,year,month,road_type,count,mean,std,min,25%,50%,75%,max
gece,2022,2,RAYLI,3741.0,1306.711307137129,2572.1102137988305,1.0,45.0,225.0,1152.0,22745.0
gece,2022,3,DENİZ,3785.0,69.13025099075297,201.28685813140316,1.0,4.0,12.0,43.0,4874.0
gece,2022,3,OTOYOL,88442.0,90.69201284457611,562.0075270914375,1.0,6.0,22.0,65.0,24608.0
gece,2022,3,RAYLI,4316.0,1392.498378127896,2827.72537821437,1.0,39.0,243.0,1114.25,25102.0
gece,2022,4,DENİZ,4036.0,94.36744301288404,274.55409205237555,1.0,4.0,15.0,58.0,6647.0
gece,2022,4,OTOYOL,89527.0,103.19705787080993,642.1696353937759,1.0,7.0,24.0,73.0,26528.0
gece,2022,4,RAYLI,5207.0,1450.8613405031688,3139.76440574847,1.0,40.0,249.0,1073.5,28078.0
gece,2022,5,DENİZ,4383.0,111.95687885010267,303.3193133539554,1.0,5.0,19.0,73.0,6959.0
gece,2022,5,OTOYOL,92584.0,112.6429944698868,689.8201011844017,1.0,8.0,28.0,85.0,28994.0
gece,2022,5,RAYLI,4659.0,1756.0972311654862,3575.431777753707,1.0,49.0,322.0,1430.0,32011.0
gece,2022,6,DENİZ,4408.0,111.7665607985481,262.62156500554,1.0,5.0,21.0,78.0,2329.0
gece,2022,6,OTOYOL,91770.0,113.22051868802441,679.8961256635669,1.0,8.0,28.0,84.0,25885.0
gece,2022,6,RAYLI,4310.0,1803.3104408352667,3603.757271347376,1.0,58.0,338.0,1431.75,24938.0
gece,2022,7,DENİZ,4830.0,116.10952380952381,255.21734534604104,1.0,6.0,25.0,91.0,4684.0
gece,2022,7,OTOYOL,92518.0,106.02073110097494,616.7465296997691,1.0,8.0,29.0,84.0,26305.0
gece,2022,7,RAYLI,4712.0,1629.1994906621392,3241.311566984648,1.0,49.0,296.5,1402.5,34008.0
gece,2022,8,DENİZ,4716.0,108.24936386768448,261.7479358447768,1.0,6.0,24.0,81.0,5128.0
gece,2022,8,OTOYOL,95004.0,99.16967706622879,594.2397241788635,1.0,8.0,26.0,77.0,22947.0
gece,2022,8,RAYLI,4764.0,1579.0732577665826,3143.041921340137,1.0,44.0,318.0,1357.25,25242.0
gece,2022,9,DENİZ,4375.0,93.87931428571429,234.1480936050915,1.0,5.0,19.0,66.0,6689.0
gece,2022,9,OTOYOL,91711.0,96.97391806871586,596.8429455594426,1.0,7.0,25.0,74.0,24009.0
gece,2022,9,RAYLI,4390.0,1569.3890660592256,3132.219688081864,1.0,54.0,287.0,1304.75,25593.0
gece,2022,10,DENİZ,4322.0,100.49907450254511,319.90161011143044,1.0,5.0,17.0,58.0,7289.0
gece,2022,10,OTOYOL,94078.0,99.79957056910223,639.4351781977214,1.0,7.0,25.0,74.0,27815.0
gece,2022,10,RAYLI,4553.0,1667.3270371183835,3444.9509938727597,1.0,53.0,298.0,1281.0,34802.0
gece,2022,11,DENİZ,4218.0,72.71669037458511,203.68188849636573,1.0,4.0,13.0,43.0,2482.0
gece,2022,11,OTOYOL,91576.0,94.59258976150957,611.5341815823432,1.0,6.0,23.0,70.0,25144.0
gece,2022,11,RAYLI,4304.0,1477.236059479554,3083.8102349192463,1.0,40.0,223.0,1128.5,28612.0
gece,2022,12,DENİZ,4607.0,73.84653787714348,225.13906181819817,1.0,3.0,11.0,40.0,5490.0
gece,2022,12,OTOYOL,94322.0,95.84908080829499,616.4023663270724,1.0,6.0,23.0,70.0,24868.0
gece,2022,12,RAYLI,4710.0,1485.9152866242039,3137.590174622243,1.0,41.0,220.0,1122.0,24681.0
gece,2023,1,DENİZ,4886.0,63.09537453950061,172.47722443533823,1.0,3.0,11.0,43.0,3543.0
gece,2023,1,OTOYOL,94108.0,91.02020019552005,578.5822932815382,1.0,6.0,22.0,68.0,23835.0
gece,2023,1,RAYLI,4915.0,1372.4156663275687,2966.42629947046,1.0,33.0,210.0,941.0,26504.0
